分类编码,分类名称,上级分类
0,未分类,
570,D系列电磁炉成品,
569,家用电磁炉成品,
1,商用电磁炉成品,
156,2200W平面双灶,家用双灶
157,2500W双灶,家用双灶
160,阁兰喜3500W单灶（足）,商用单灶
78,3.5KW双灶台式,3.5KW双灶
79,3.5KW双灶嵌入式,停用
81,3.5KW双灶台式一平一凹,3.5KW双灶台式
82,3.5KW双灶台式双平面,3.5KW双灶台式
83,3.5KW双灶台式双凹面,3.5KW双灶台式
84,3.5KW双灶嵌入式一平一凹,3.5KW双灶嵌入式
85,3.5KW双灶嵌入式双平面,3.5KW双灶嵌入式
86,3.5KW双灶嵌入式双凹面,3.5KW双灶嵌入式
91,4.2K双灶台式-3300W,4.2K双灶
92,4.2K双灶嵌入式,停用
93,4.2K双灶台式-2800W,4.2K双灶
94,4.2K双灶台式一平一凹-实,4.2K双灶台式-3300W
95,4.2K双灶台式双平-实,4.2K双灶台式-3300W
96,4.2K双灶台式双凹-实,4.2K双灶台式-3300W
97,4.2K双灶嵌入式一平一凹,4.2K双灶嵌入式
98,4.2K双灶嵌入式双平,4.2K双灶嵌入式
99,4.2K双灶嵌入式双凹,4.2K双灶嵌入式
104,5KW双灶台式,5KW双灶
105,5KW双灶嵌入式,停用
107,5KW双灶台式220V3300W,5KW双灶台式
501,5KW双灶台式220V5000W,5KW双灶台式
108,5KW双灶台式380V,5KW双灶台式
109,5KW双灶嵌入式220V,5KW双灶嵌入式
110,5KW双灶嵌入式380V,5KW双灶嵌入式
113,5KW双灶台式220V一平一凹-虚,5KW双灶台式220V3300W
114,5KW双灶台式220V双凹-虚,5KW双灶台式220V3300W
115,5KW双灶台式220V双平-虚,5KW双灶台式220V3300W
116,5KW双灶台式380V一平一凹,5KW双灶台式380V
117,5KW双灶台式380V双凹,5KW双灶台式380V
118,5KW双灶台式380V双平,5KW双灶台式380V
119,5KW双灶嵌入式220V一平一凹,5KW双灶嵌入式220V
120,5KW双灶嵌入式220V双凹,5KW双灶嵌入式220V
121,5KW双灶嵌入式220V双平,5KW双灶嵌入式220V
122,5KW双灶嵌入式380V一平一凹,5KW双灶嵌入式380V
123,5KW双灶嵌入式380V双凹,5KW双灶嵌入式380V
124,5KW双灶嵌入式380V双平,5KW双灶嵌入式380V
167,阁兰喜4200W单灶（足),商用单灶
174,阁兰喜5000W单灶（足）,商用单灶
131,阁兰喜6000W单灶（大型）,商用单灶
132,6000W平面,阁兰喜6000W单灶（大型）
133,6000W凹面,阁兰喜6000W单灶（大型）
134,6000W平面220V台式,6000W平面
135,6000W平面380V台式,6000W平面
136,6000W凹面220V,6000W凹面
137,6000W凹面380V,6000W凹面
138,6000W凹面220V台式,6000W凹面220V
139,6000W凹面220V落地式,6000W凹面220V
140,6000W凹面380V台式,6000W凹面380V
141,6000W凹面380V落地式,6000W凹面380V
145,阁兰喜7000W单灶,停用
